n_features,mean,std
20,0.9985150992018769,0.014033387706834181
40,0.9985350669642842,0.0029731270692120865
60,0.9971510393466225,0.024127331755761504
80,0.995311290749466,0.07534394449014732
100,0.9916122350270533,0.1876682992930723
